order_id,city,warehouse,distance_km,delay_probability
ORD00001,Kolkata,WH_East,85,0.6836538064468023
ORD00003,Bangalore,WH_West,71,0.7117284303511494
ORD00004,Kolkata,WH_South,133,0.6423234138806515
ORD00005,Chennai,WH_North,374,0.6414298246001633
ORD00007,Chennai,WH_East,249,0.7234471956641749
ORD00008,Pune,WH_South,115,0.6784119513996337
ORD00010,Mumbai,WH_East,485,0.7480483475991759
ORD00011,Mumbai,WH_East,472,0.7380617314590944
ORD00012,Kolkata,WH_West,146,0.6585688577542287
ORD00013,Chennai,WH_East,360,0.7060533917897505
ORD00014,Chennai,WH_East,201,0.6120370994201533
ORD00017,Chennai,WH_South,380,0.6532920162565713
ORD00018,Bangalore,WH_South,83,0.60796817862572
ORD00019,Mumbai,WH_South,394,0.7794833046100045
ORD00020,Mumbai,WH_South,165,0.7208757916454269
ORD00025,Pune,WH_South,33,0.6815614561455365
ORD00027,Delhi,WH_East,458,0.6454398542561396
ORD00028,Delhi,WH_South,211,0.6940331265749312
ORD00030,Kolkata,WH_South,284,0.7580147271987289
ORD00033,Delhi,WH_West,270,0.6311973649733021
ORD00034,Kolkata,WH_East,186,0.6035234842929258
ORD00035,Delhi,WH_East,109,0.6889766951221649
ORD00037,Kolkata,WH_South,437,0.6642452248752303
ORD00038,Hyderabad,WH_South,405,0.7227972899897539
ORD00040,Pune,WH_East,240,0.722067555167588
ORD00041,Kolkata,WH_North,177,0.6936818743678118
ORD00042,Kolkata,WH_West,162,0.6194467801713062
ORD00046,Bangalore,WH_East,315,0.7000134006781141
ORD00048,Delhi,WH_West,161,0.6879727644561698
ORD00051,Pune,WH_South,151,0.7078716445860417
ORD00052,Kolkata,WH_East,395,0.7127087252997558
ORD00053,Delhi,WH_West,158,0.728798664445767
ORD00055,Delhi,WH_West,371,0.6067993490407197
ORD00057,Bangalore,WH_East,135,0.7646082036185763
ORD00058,Mumbai,WH_North,362,0.6911329368286672
ORD00061,Pune,WH_North,454,0.6759865866181923
ORD00065,Delhi,WH_North,482,0.6964731823519346
ORD00069,Kolkata,WH_West,203,0.6549103799045226
ORD00070,Kolkata,WH_East,488,0.7792475624675341
ORD00074,Mumbai,WH_North,427,0.6762946974660095
ORD00075,Kolkata,WH_North,328,0.6603446368416442
ORD00076,Chennai,WH_West,132,0.7202491052630586
ORD00079,Chennai,WH_East,137,0.6890668390184254
ORD00080,Hyderabad,WH_East,59,0.7020067673105248
ORD00082,Mumbai,WH_West,162,0.6331733653425028
ORD00085,Bangalore,WH_North,215,0.6341460008340775
ORD00086,Mumbai,WH_West,158,0.722973499843847
ORD00087,Bangalore,WH_South,297,0.6284546600323231
ORD00088,Delhi,WH_South,479,0.6883104910159089
ORD00090,Hyderabad,WH_East,119,0.718552984601169
ORD00093,Pune,WH_West,263,0.6787059284658625
ORD00094,Bangalore,WH_West,255,0.6271743082828468
ORD00096,Bangalore,WH_East,303,0.6719622617168349
ORD00097,Mumbai,WH_North,267,0.7206498003988533
ORD00098,Kolkata,WH_North,385,0.6591098006402616
ORD00099,Hyderabad,WH_South,53,0.7146008313090756
ORD00100,Bangalore,WH_North,381,0.7092587523617617
ORD00101,Chennai,WH_North,333,0.6175898549710882
ORD00102,Mumbai,WH_West,301,0.6089327154189033
ORD00103,Delhi,WH_South,366,0.6481360714269647
ORD00105,Delhi,WH_West,467,0.619139403725535
ORD00106,Chennai,WH_East,442,0.6994561665339079
ORD00107,Mumbai,WH_East,131,0.6439872065814473
ORD00108,Hyderabad,WH_South,201,0.6175416669052894
ORD00109,Bangalore,WH_South,225,0.6503362969178526
ORD00110,Mumbai,WH_East,487,0.753347403867313
ORD00111,Pune,WH_East,95,0.7047821120579996
ORD00112,Delhi,WH_East,415,0.6417965109981172
ORD00113,Pune,WH_East,12,0.6441151324087173
ORD00116,Chennai,WH_South,324,0.6211056773404168
ORD00117,Bangalore,WH_West,398,0.6309353528243324
ORD00119,Chennai,WH_North,195,0.6307967244503055
ORD00123,Mumbai,WH_North,442,0.6660315320165074
ORD00124,Hyderabad,WH_North,268,0.6623043843042693
ORD00125,Pune,WH_North,289,0.7271760081276808
ORD00127,Kolkata,WH_North,45,0.6762095220147848
ORD00128,Mumbai,WH_West,418,0.6533052880059291
ORD00132,Bangalore,WH_North,271,0.6851415765909645
ORD00133,Hyderabad,WH_North,6,0.6552694296284224
ORD00134,Chennai,WH_West,182,0.6797118153135682
ORD00135,Delhi,WH_South,429,0.6935153288145116
ORD00136,Mumbai,WH_West,198,0.6105825949552133
ORD00137,Chennai,WH_West,486,0.7044030936213825
ORD00139,Pune,WH_East,340,0.6344296025133371
ORD00141,Mumbai,WH_West,200,0.6688129044076827
ORD00142,Bangalore,WH_North,347,0.6011211420015673
ORD00143,Pune,WH_South,253,0.609018734023459
ORD00144,Delhi,WH_East,216,0.6624429959253574
ORD00145,Kolkata,WH_South,157,0.6605819854696583
ORD00149,Hyderabad,WH_South,143,0.6482229991273616
ORD00150,Pune,WH_South,225,0.6558827740644254
ORD00151,Mumbai,WH_West,277,0.6163288764517456
ORD00152,Chennai,WH_South,158,0.619809644138817
